Date,O_Price_KRW,O_TR_KRW,AAPL_Price_KRW,AAPL_TR_KRW,005930.KS_Price_KRW,005930.KS_TR_KRW,S&P 500,KOSPI,Total_PR,Total_TR
2023-01-02,,,,,2604509.5703125,2604509.5703125,,2225.669921875,2604509.5703125,2604509.5703125
2023-01-03,6837234.258908685,6837234.258908685,1563442.6620783005,1563442.6620783005,2599816.796875,2599816.796875,3824.139892578125,2218.679931640625,11000493.717861986,11000493.717861986
2023-01-04,6972994.081535004,6972994.081535003,1590736.2500102073,1590736.2500102073,2712444.3359375,2712444.3359375,3852.969970703125,2255.97998046875,11276174.667482711,11276174.667482711
2023-01-05,6798538.0207510665,6798538.020751066,1564023.2918953244,1564023.2918953241,2731216.015625,2731216.0156249995,3808.10009765625,2264.64990234375,11093777.32827139,11093777.328271389
2023-01-06,6889302.433755761,6889302.43375576,1625524.8601411656,1625524.8601411656,2768758.203125,2768758.2031249995,3895.080078125,2289.969970703125,11283585.497021927,11283585.497021925
2023-01-09,6839677.00022785,6839677.000227849,1604887.1721360274,1604887.1721360271,2848536.1328125,2848536.1328125,3892.090087890625,2350.18994140625,11293100.305176377,11293100.305176375
2023-01-10,6706876.545179356,6706876.545179355,1594540.9346923977,1594540.9346923975,2834457.8125,2834457.8125,3919.25,2351.31005859375,11135875.292371754,11135875.292371754
2023-01-11,6906270.342136128,6906270.342136126,1629360.9170743078,1629360.9170743078,2839150.1953125,2839150.1953125005,3969.610107421875,2359.530029296875,11374781.454522936,11374781.454522934
2023-01-12,6971908.490838343,6971908.490838341,1630275.3683338873,1630275.3683338873,2839150.1953125,2839150.1953125005,3983.169921875,2365.10009765625,11441334.05448473,11441334.054484729
2023-01-13,6920399.081019033,6920399.081019031,1643496.1903034337,1643496.1903034337,2853228.7109375,2853228.7109375005,3999.090087890625,2386.090087890625,11417123.982259966,11417123.982259965
2023-01-16,6920399.081019033,6920399.081019031,1643496.1903034337,1643496.1903034337,2867307.6171875,2867307.6171875005,3999.090087890625,2399.860107421875,11431202.888509966,11431202.888509965
2023-01-17,7002503.427844867,7002503.427844865,1660001.2434121966,1660001.2434121966,2862614.453125,2862614.4531250005,3990.969970703125,2379.389892578125,11525119.124382064,11525119.124382062
2023-01-18,6892849.165344238,6892849.165344236,1646149.7923278809,1646149.792327881,2834457.8125,2834457.812500001,3928.860107421875,2368.320068359375,11373456.77017212,11373456.77017212
2023-01-19,6821503.457266279,6821503.457266277,1648052.4209294468,1648052.4209294468,2886078.7109375,2886078.710937501,3898.85009765625,2380.340087890625,11355634.589133225,11355634.589133225
2023-01-20,6901338.275470398,6901338.275470397,1671994.5931065269,1671994.593106527,2900157.2265625,2900157.226562501,3972.610107421875,2395.260009765625,11473490.095139425,11473490.095139425
2023-01-23,6946378.561925702,6946378.561925701,1708300.8623451367,1708300.8623451367,2900157.2265625,2900157.226562501,4019.81005859375,2395.260009765625,11554836.650833338,11554836.650833338
2023-01-24,6959774.953833036,6959774.953833036,1724439.6372891963,1724439.6372891963,2900157.2265625,2900157.226562501,4016.949951171875,2395.260009765625,11584371.817684732,11584371.817684732
2023-01-25,7000754.66322829,7000754.66322829,1721052.2934068367,1721052.293406837,2970549.21875,2970549.2187500014,4016.219970703125,2428.570068359375,11692356.175385127,11692356.175385129
2023-01-26,7068998.245444149,7068998.245444149,1746430.4217009246,1746430.4217009249,2994013.28125,2994013.2812500014,4060.429931640625,2468.64990234375,11809441.948395073,11809441.948395075
