Date,O_Price_KRW,O_TR_KRW,AAPL_Price_KRW,AAPL_TR_KRW,005930.KS_Price_KRW,005930.KS_TR_KRW,S&P 500,KOSPI,Total_PR,Total_TR
2023-01-02,,,,,2604509.765625,2604509.765625,,2225.669921875,2604509.765625,2604509.765625
2023-01-03,6837234.743413376,6837234.743413376,1563442.4682764243,1563442.4682764243,2599817.1875,2599817.1875,3824.139892578125,2218.679931640625,11000494.3991898,11000494.3991898
2023-01-04,6972995.057395566,6972995.057395565,1590736.3475962635,1590736.3475962633,2712444.7265625,2712444.7265625,3852.969970703125,2255.97998046875,11276176.13155433,11276176.131554328
2023-01-05,6798536.566115497,6798536.566115496,1564023.388871029,1564023.3888710288,2731215.8203125,2731215.8203125005,3808.10009765625,2264.64990234375,11093775.775299026,11093775.775299026
2023-01-06,6889302.433755761,6889302.433755761,1625524.6657167189,1625524.6657167186,2768758.203125,2768758.203125,3895.080078125,2289.969970703125,11283585.30259748,11283585.30259748
2023-01-09,6839678.911971021,6839678.911971021,1604887.3633103445,1604887.3633103445,2848536.1328125,2848536.1328125005,3892.090087890625,2350.18994140625,11293102.408093866,11293102.408093866
2023-01-10,6706877.01792717,6706877.017927171,1594540.5564941466,1594540.5564941466,2834457.2265625,2834457.2265625005,3919.25,2351.31005859375,11135874.800983816,11135874.800983818
2023-01-11,6906269.869052619,6906269.869052621,1629361.1063077115,1629361.1063077115,2839150.390625,2839150.390625001,3969.610107421875,2359.530029296875,11374781.36598533,11374781.365985334
2023-01-12,6971908.490838343,6971908.490838345,1630275.3683338873,1630275.3683338873,2839150.390625,2839150.390625001,3983.169921875,2365.10009765625,11441334.24979723,11441334.249797232
2023-01-13,6920400.026400201,6920400.026400203,1643496.1903034337,1643496.1903034337,2853229.296875,2853229.296875001,3999.090087890625,2386.090087890625,11417125.513578635,11417125.513578638
2023-01-16,6920400.026400201,6920400.026400203,1643496.1903034337,1643496.1903034337,2867307.421875,2867307.4218750005,3999.090087890625,2399.860107421875,11431203.638578635,11431203.638578637
