Date,O_Price_KRW,O_TR_KRW,AAPL_Price_KRW,AAPL_TR_KRW,005930.KS_Price_KRW,005930.KS_TR_KRW,S&P 500,KOSPI,Total_PR,Total_TR
2023-01-02,,,,,2604509.765625,2604509.765625,,2225.669921875,2604509.765625,2604509.765625
2023-01-03,6837234.258908685,6837234.258908685,1563442.6620783005,1563442.6620783005,2599816.9921875,2599816.9921875,3824.139892578125,2218.679931640625,11000493.913174486,11000493.913174486
2023-01-04,6972995.057395566,6972995.057395566,1590736.4451823197,1590736.4451823197,2712444.921875,2712444.9218749995,3852.969970703125,2255.97998046875,11276176.424452886,11276176.424452886
2023-01-05,6798537.05099402,6798537.050994019,1564023.388871029,1564023.388871029,2731215.8203125,2731215.8203125005,3808.10009765625,2264.64990234375,11093776.260177549,11093776.260177549
2023-01-06,6889303.405877994,6889303.405877993,1625525.1517778356,1625525.1517778356,2768758.7890625,2768758.7890625005,3895.080078125,2289.969970703125,11283587.34671833,11283587.34671833
2023-01-09,6839677.00022785,6839677.000227849,1604887.1721360274,1604887.1721360274,2848535.9375,2848535.937500001,3892.090087890625,2350.18994140625,11293100.109863877,11293100.109863877
2023-01-10,6706875.599683728,6706875.599683727,1594540.7455932721,1594540.7455932724,2834457.8125,2834457.812500001,3919.25,2351.31005859375,11135874.157777,11135874.157777
2023-01-11,6906270.815219637,6906270.815219636,1629361.295541115,1629361.2955411153,2839150.78125,2839150.781250001,3969.610107421875,2359.530029296875,11374782.892010752,11374782.892010752
2023-01-12,6971908.964471146,6971908.964471147,1630275.5577870086,1630275.5577870088,2839150.78125,2839150.781250001,3983.169921875,2365.10009765625,11441335.303508155,11441335.303508159
2023-01-13,6920398.1356378645,6920398.135637865,1643496.1903034337,1643496.190303434,2853229.1015625,2853229.101562501,3999.090087890625,2386.090087890625,11417123.427503798,11417123.427503802
2023-01-16,6920398.1356378645,6920398.135637865,1643496.1903034337,1643496.190303434,2867307.2265625,2867307.226562501,3999.090087890625,2399.860107421875,11431201.552503798,11431201.552503802
2023-01-17,7002503.901138157,7002503.9011381585,1660001.6220468283,1660001.6220468285,2862614.453125,2862614.453125001,3990.969970703125,2379.389892578125,11525119.976309985,11525119.976309989
2023-01-18,6892846.8059539795,6892846.80595398,1646149.7923278809,1646149.792327881,2834457.8125,2834457.812500001,3928.860107421875,2368.320068359375,11373454.41078186,11373454.410781864
