Date,O_Price_KRW,O_TR_KRW,AAPL_Price_KRW,AAPL_TR_KRW,005930.KS_Price_KRW,005930.KS_TR_KRW,S&P 500,KOSPI,Total_PR,Total_TR
2023-01-02,,,,,2604509.765625,2604509.765625,,2225.669921875,2604509.765625,2604509.765625
2023-01-03,6837235.227918066,6837235.227918066,1563442.5651773624,1563442.5651773624,2599816.9921875,2599816.9921875,3824.139892578125,2218.679931640625,11000494.785282928,11000494.785282928
2023-01-04,6972993.593604723,6972993.593604723,1590736.2500102073,1590736.2500102073,2712444.140625,2712444.1406249995,3852.969970703125,2255.97998046875,11276173.98423993,11276173.98423993
2023-01-05,6798538.50562959,6798538.50562959,1564023.388871029,1564023.388871029,2731216.2109375,2731216.2109375,3808.10009765625,2264.64990234375,11093778.105438119,11093778.105438119
2023-01-06,6889302.433755761,6889302.433755762,1625525.3462022822,1625525.3462022822,2768758.3984375,2768758.3984374995,3895.080078125,2289.969970703125,11283586.178395543,11283586.178395543
2023-01-09,6839677.478163643,6839677.478163643,1604887.3633103445,1604887.3633103445,2848535.7421875,2848535.742187499,3892.090087890625,2350.18994140625,11293100.583661487,11293100.583661485
2023-01-10,6706876.072431542,6706876.072431543,1594540.5564941466,1594540.5564941466,2834457.2265625,2834457.2265624995,3919.25,2351.31005859375,11135873.855488189,11135873.855488189
2023-01-11,6906270.815219637,6906270.815219637,1629361.295541115,1629361.295541115,2839150.390625,2839150.390625,3969.610107421875,2359.530029296875,11374782.501385752,11374782.501385752
2023-01-12,6971908.490838343,6971908.490838343,1630275.5577870086,1630275.5577870084,2839150.390625,2839150.390625,3983.169921875,2365.10009765625,11441334.439250352,11441334.439250352
2023-01-13,6920400.026400201,6920400.026400202,1643496.3793796673,1643496.3793796673,2853228.515625,2853228.515625,3999.090087890625,2386.090087890625,11417124.921404868,11417124.921404868
2023-01-16,6920400.026400201,6920400.026400202,1643496.3793796673,1643496.3793796673,2867307.421875,2867307.421875,3999.090087890625,2399.860107421875,11431203.827654868,11431203.827654868
2023-01-17,7002502.954551578,7002502.954551578,1660001.0540948808,1660001.0540948808,2862614.453125,2862614.4531249995,3990.969970703125,2379.389892578125,11525118.461771458,11525118.461771458
2023-01-18,6892846.8059539795,6892846.80595398,1646150.1698303223,1646150.169830322,2834457.2265625,2834457.2265624995,3928.860107421875,2368.320068359375,11373454.202346802,11373454.202346802
2023-01-19,6821502.512838785,6821502.512838786,1648052.0431584492,1648052.043158449,2886078.3203125,2886078.3203124995,3898.85009765625,2380.340087890625,11355632.876309734,11355632.876309734
2023-01-20,6901337.335391622,6901337.335391623,1671994.5931065269,1671994.5931065266,2900157.2265625,2900157.2265625005,3972.610107421875,2395.260009765625,11473489.155060649,11473489.155060649
2023-01-23,6946378.561925702,6946378.561925703,1708301.0500328243,1708301.0500328238,2900157.2265625,2900157.2265625005,4019.81005859375,2395.260009765625,11554836.838521026,11554836.838521026
2023-01-24,6959775.891699269,6959775.89169927,1724439.824862443,1724439.8248624427,2900157.2265625,2900157.2265625005,4016.949951171875,2395.260009765625,11584372.943124212,11584372.943124212
2023-01-25,7000752.782338345,7000752.782338346,1721052.4814958312,1721052.481495831,2970549.21875,2970549.218750001,4016.219970703125,2428.570068359375,11692354.482584177,11692354.482584178
2023-01-26,7068996.36466112,7068996.364661122,1746430.7978575304,1746430.7978575302,2994013.28125,2994013.281250001,4060.429931640625,2468.64990234375,11809440.44376865,11809440.443768654
2023-01-27,7099052.859048126,7099052.859048128,1769266.707351245,1769266.7073512448,3031555.6640625,3031555.6640625014,4070.56005859375,2484.02001953125,11899875.230461871,11899875.230461875
2023-01-30,7027381.044471916,7027381.044471918,1729661.9208865613,1729661.920886561,2970549.21875,2970549.2187500014,4017.77001953125,2450.469970703125,11727592.184108477,11727592.18410848
2023-01-31,7074191.987228394,7104856.337228397,1748885.7790374756,1748885.7790374754,2881385.3515625,2881385.3515625014,4076.60009765625,2425.080078125,11704463.11782837,11735127.467828374
2023-02-01,7085227.382056788,7115939.56694875,1763633.9215264097,1763633.9215264095,2862614.453125,2862614.4531250014,4119.2099609375,2449.800048828125,11711475.756708197,11742187.94160016
2023-02-02,7022434.645689279,7052874.644238418,1813858.0624379218,1813858.0624379218,2979934.5703125,2979934.5703125014,4179.759765625,2468.8798828125,11816227.2784397,11846667.276988842
2023-02-03,7011380.278716562,7041772.360135592,1862601.6377103329,1862601.6377103329,2979934.5703125,2979934.5703125014,4136.47998046875,2480.39990234375,11853916.486739395,11884308.568158427
2023-02-06,7151233.945178986,7182232.247320456,1861837.0497894287,1861837.0497894287,2890771.484375,2890771.4843750014,4111.080078125,2438.18994140625,11903842.479343414,11934840.781484887
2023-02-07,7195837.996453419,7227029.642830128,1919707.4608371407,1919707.460837141,2909542.3828125,2909542.382812502,4164.0,2451.7099609375,12025087.84010306,12056279.48647977
2023-02-08,7146342.065397883,7177319.162811797,1877027.3036063276,1877027.3036063276,2961163.4765625,2961163.476562502,4117.85986328125,2483.639892578125,11984532.84556671,12015509.942980627
2023-02-09,7069812.121490017,7100457.486178877,1871657.1191377938,1871657.119137794,2970549.21875,2970549.2187500014,4081.5,2481.52001953125,11912018.45937781,11942663.824066672
2023-02-10,7159091.125795711,7190123.486291389,1882327.3974733427,1885235.8625856477,2951777.9296875,2951777.929687501,4090.4599609375,2469.72998046875,11993196.452956554,12027137.278564539
2023-02-13,7204413.095016172,7235641.911690786,1921245.9655305557,1924214.5653981466,2951777.9296875,2951777.929687501,4137.2900390625,2452.699951171875,12077436.990234228,12111634.406776432
2023-02-14,7083696.338242292,7114401.886551097,1922295.2824055403,1925265.5036178168,2965856.25,2965856.2500000014,4136.1298828125,2465.639892578125,11971847.870647833,12005523.640168916
2023-02-15,7154200.448513031,7185211.609493599,1947965.4724884033,1950975.3578167006,2918928.515625,2918928.515625001,4147.60009765625,2427.89990234375,12021094.436626434,12055115.482935302
2023-02-16,7208913.9557947405,7240162.282255131,1945027.91401539,1948033.2603956035,2989320.3125,2989320.312500001,4090.409912109375,2475.47998046875,12143262.18231013,12177515.855150737
2023-02-17,7217599.018083885,7248884.991499615,1938229.0916517377,1941223.9328787685,2937699.609375,2937699.609375001,4079.090087890625,2451.2099609375,12093527.719110623,12127808.533753384
2023-02-20,7217599.018083885,7248884.991499615,1938229.0916517377,1941223.9328787685,2942392.3828125,2942392.382812501,4079.090087890625,2455.1201171875,12098220.492548123,12132501.307190884
2023-02-21,7158849.00200041,7189880.312967207,1896982.6270576008,1899913.73659617,2914235.3515625,2914235.3515625014,3997.340087890625,2458.9599609375,11970066.98062051,12004029.40112588
2023-02-22,7245712.411935814,7277120.247883732,1916743.4204472974,1919705.0632386068,2867307.421875,2867307.421875001,3991.050048828125,2417.679931640625,12029763.254258111,12064132.73299734
2023-02-23,7290852.008545585,7322455.51014575,1918632.4064395763,1921596.9679844796,2909542.3828125,2909542.382812501,4012.320068359375,2439.090087890625,12119026.797797661,12153594.860942729
2023-02-24,7143347.704701684,7174311.822523781,1877217.805540301,1880118.3756020977,2876692.96875,2876692.968750001,3970.0400390625,2423.610107421875,11897258.478991985,11931123.16687588
2023-02-27,7204825.675392058,7236056.280470075,1915475.1971611753,1918434.8803660774,2839150.390625,2839150.390625001,3982.239990234375,2402.639892578125,11959451.263178233,11993641.551461153
2023-02-28,7168119.125926914,7232954.267184698,1915627.7319735847,1918587.6508665937,2843843.359375,2843843.359375001,3970.14990234375,2412.85009765625,11927590.217275498,11995385.277426291
2023-03-01,7137473.732894752,7202031.688694088,1892992.9264563136,1895917.8713366934,2843843.359375,2843843.359375001,3951.389892578125,2412.85009765625,11874310.018726066,11941792.91940578
2023-03-02,7115044.916369021,7179400.005075589,1877984.2352725565,1880885.9895779348,2853228.515625,2853228.5156250005,3981.35009765625,2427.85009765625,11846257.667266577,11913514.510278523
2023-03-03,7188676.0759675875,7253697.153415368,1951817.4562123418,1954833.2934065526,2839150.390625,2839150.390625001,4045.639892578125,2432.070068359375,11979643.92280493,12047680.83744692
2023-03-06,7078495.503967907,7142520.005769557,1963317.3011437804,1966350.9072435629,2886078.3203125,2886078.3203125005,4048.419921875,2462.6201171875,11927891.125424188,11994949.23332562
