Date,O_Price_KRW,O_TR_KRW,AAPL_Price_KRW,AAPL_TR_KRW,005930.KS_Price_KRW,005930.KS_TR_KRW,S&P 500,KOSPI,Total_PR,Total_TR
2023-01-02,,,,,2604509.375,2604509.375,,2225.669921875,2604509.375,2604509.375
2023-01-03,6837234.258908685,6837234.258908685,1563442.4682764243,1563442.4682764243,2599816.9921875,2599816.9921875,3824.139892578125,2218.679931640625,11000493.71937261,11000493.71937261
2023-01-04,6972993.593604723,6972993.593604723,1590736.2500102073,1590736.250010207,2712444.53125,2712444.53125,3852.969970703125,2255.97998046875,11276174.37486493,11276174.37486493
2023-01-05,6798538.0207510665,6798538.0207510665,1564023.388871029,1564023.3888710288,2731215.8203125,2731215.8203125005,3808.10009765625,2264.64990234375,11093777.229934596,11093777.229934596
2023-01-06,6889300.489511294,6889300.489511293,1625524.8601411656,1625524.8601411653,2768758.3984375,2768758.398437501,3895.080078125,2289.969970703125,11283583.74808996,11283583.748089958
2023-01-09,6839677.478163643,6839677.478163641,1604887.3633103445,1604887.3633103443,2848536.328125,2848536.328125001,3892.090087890625,2350.18994140625,11293101.169598987,11293101.169598985
2023-01-10,6706876.072431542,6706876.07243154,1594540.5564941466,1594540.5564941464,2834457.6171875,2834457.6171875005,3919.25,2351.31005859375,11135874.246113189,11135874.246113187
2023-01-11,6906269.39596911,6906269.395969108,1629360.9170743078,1629360.9170743073,2839150.5859375,2839150.5859375,3969.610107421875,2359.530029296875,11374780.898980917,11374780.898980916
2023-01-12,6971910.859002359,6971910.859002357,1630275.178880766,1630275.1788807656,2839150.5859375,2839150.5859375,3983.169921875,2365.10009765625,11441336.623820625,11441336.623820623
2023-01-13,6920399.081019033,6920399.081019029,1643496.0012272,1643496.0012271989,2853228.90625,2853228.90625,3999.090087890625,2386.090087890625,11417123.988496233,11417123.988496227
2023-01-16,6920399.081019033,6920399.081019029,1643496.0012272,1643496.0012271989,2867307.421875,2867307.421875001,3999.090087890625,2399.860107421875,11431202.504121233,11431202.504121229
2023-01-17,7002502.954551578,7002502.954551574,1660001.2434121966,1660001.2434121962,2862614.2578125,2862614.257812501,3990.969970703125,2379.389892578125,11525118.455776274,11525118.45577627
2023-01-18,6892847.749710083,6892847.749710081,1646149.7923278809,1646149.7923278804,2834457.6171875,2834457.6171875005,3928.860107421875,2368.320068359375,11373455.159225464,11373455.159225462
2023-01-19,6821505.3461212665,6821505.346121265,1648052.232043948,1648052.2320439476,2886078.3203125,2886078.320312501,3898.85009765625,2380.340087890625,11355635.898477715,11355635.898477715
2023-01-20,6901338.7455097865,6901338.745509785,1671994.2170750163,1671994.217075016,2900156.8359375,2900156.835937501,3972.610107421875,2395.260009765625,11473489.798522303,11473489.798522301
2023-01-23,6946378.561925702,6946378.561925701,1708301.0500328243,1708301.0500328238,2900156.8359375,2900156.835937501,4019.81005859375,2395.260009765625,11554836.447896026,11554836.447896026
2023-01-24,6959775.422766153,6959775.422766152,1724439.824862443,1724439.8248624424,2900156.8359375,2900156.835937501,4016.949951171875,2395.260009765625,11584372.083566096,11584372.083566096
